,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,11,1,91.66666666666666,8.333333333333332,887.828438914939,-48.68843683083512,80.71167626499447,-48.68843683083512,69.92833350700866
1,201403-201406,27,10,72.97297297297297,27.027027027027028,1623.4370455846774,-343.3306513573798,60.127297984617684,-34.33306513573798,34.59747011425129
2,201406-201409,5,4,55.55555555555556,44.44444444444444,482.58618316680605,-137.30668780667742,96.51723663336121,-34.326671951669354,38.36438837334762
3,201409-201412,6,9,40.0,60.0,196.71546632628707,-156.56482897272332,32.78591105438118,-17.396092108080367,2.6767091569042503
4,201412-201503,3,4,42.857142857142854,57.14285714285714,250.9630164737566,-98.85974155706633,83.65433882458554,-24.714935389266582,21.729039273812898
5,201503-201506,4,5,44.44444444444444,55.55555555555556,134.86107733971298,-97.35125443559674,33.715269334928244,-19.47025088711935,4.167758100457359
6,201506-201509,3,5,37.5,62.5,83.7241699999411,-140.8393129311164,27.90805666664703,-28.167862586223283,-7.139392866396914
7,201509-201512,2,5,28.57142857142857,71.42857142857143,66.4867544906177,-102.3166162620678,33.24337724530885,-20.46332325241356,-5.118551681635728
8,201512-201603,2,0,100.0,0.0,225.92095708149222,0.0,112.96047854074611,0.0,112.96047854074611
9,201603-201606,5,2,71.42857142857143,28.57142857142857,250.390060025242,-36.4238149262566,50.0780120050484,-18.2119074631283,30.566606442712203
10,201606-201609,17,5,77.27272727272727,22.727272727272727,942.0933367175832,-95.73978726753307,55.4172551010343,-19.147957453506613,38.470615884093185
11,201609-201612,4,0,100.0,0.0,297.32242082834597,0.0,74.33060520708649,0.0,74.33060520708649
12,201612-201703,8,9,47.05882352941176,52.94117647058824,476.0658949219861,-222.1529273525943,59.508236865248264,-24.6836585947327,14.936056915846578
13,201703-201706,8,13,38.095238095238095,61.904761904761905,427.342895521061,-379.897432848847,53.417861940132624,-29.22287944991131,2.259307746295904
14,201706-201709,6,2,75.0,25.0,223.838641402296,-35.14840052684526,37.306440233715996,-17.57420026342263,23.586280109431343
15,201709-201712,26,82,24.074074074074073,75.92592592592592,615.9114233355306,-3202.7514310462416,23.688900897520405,-39.057944281051725,-23.95222229361769
16,201712-201803,7,6,53.84615384615385,46.15384615384615,222.05558942131336,-155.68688140836022,31.722227060187624,-25.947813568060038,5.105285231765626
17,201803-201806,1,9,10.0,90.0,14.412136536030348,-325.6845635543362,14.412136536030348,-36.18717372825958,-31.127242701830586
18,201806-201809,3,13,18.75,81.25,159.18119436031841,-396.7436707113115,53.060398120106136,-30.518743900870113,-14.847654771937068
19,201809-201812,2,8,20.0,80.0,84.43166251712313,-308.59125326992677,42.215831258561565,-38.573906658740846,-22.415959075280362
20,201812-201903,3,19,13.636363636363635,86.36363636363636,83.1654818266637,-947.9096906019614,27.721827275554563,-49.889983715892704,-39.306554944331715
21,201903-201906,1,1,50.0,50.0,139.40307506783236,-0.952380952380949,139.40307506783236,-0.952380952380949,69.22534705772571
22,201906-201909,5,6,45.45454545454545,54.54545454545454,315.19024701513297,-177.42887624979295,63.03804940302659,-29.57147937496549,12.523760978667275
23,201909-201912,15,2,88.23529411764706,11.76470588235294,971.3322706843563,-33.1787268432177,64.75548471229042,-16.58936342160885,55.18550257889051
24,201912-202003,5,0,100.0,0.0,664.4297451906057,0.0,132.88594903812114,0.0,132.88594903812114
