,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,248,56,81.57894736842105,18.421052631578945,24915.107561307374,-1071.0835914281424,100.46414339236844,-19.12649270407397,78.43428937460274
1,201403-201406,146,110,57.03125,42.96875,9072.92495442675,-2929.8226942323063,62.14332160566267,-26.634751765748238,23.996493203884544
2,201406-201409,284,226,55.68627450980392,44.31372549019608,15530.818706595048,-5454.788019545918,54.68598136125017,-24.13623017498194,19.756922915782607
3,201409-201412,307,179,63.16872427983539,36.831275720164605,15344.88156432467,-3821.931053881275,49.983327571090136,-21.351570133414945,23.709774712846492
4,201412-201503,188,264,41.5929203539823,58.4070796460177,7604.6092134309,-6263.097276015949,40.45004900761117,-23.72385331824223,2.967946764192369
5,201503-201506,285,214,57.11422845691383,42.88577154308617,13595.135192193251,-4104.734920129291,47.70222874453772,-19.181004299669585,19.01883822056906
6,201506-201509,363,191,65.52346570397111,34.47653429602888,19100.498072569713,-3649.4872606342456,52.61845199055018,-19.107263144681912,27.889911212879905
7,201509-201512,274,293,48.32451499118166,51.67548500881834,10500.887436622443,-6364.188853024443,38.324406703001614,-21.72078106834281,7.295764697703703
8,201512-201603,554,134,80.52325581395348,19.476744186046513,36250.042288774566,-2501.1261114632034,65.43328932991798,-18.665120234800025,49.05365723446418
9,201603-201606,286,126,69.41747572815534,30.582524271844658,16106.3366321904,-2700.2720921258533,56.31586235031608,-21.430730889887723,32.53899160209841
10,201606-201609,311,155,66.7381974248927,33.261802575107296,18178.24655783388,-3169.858367974644,58.45095356216682,-20.45069914822351,32.20684160913999
11,201609-201612,669,105,86.43410852713178,13.565891472868216,57315.92564617153,-2219.421410497226,85.67402936647463,-21.13734676664025,71.1841139995792
12,201612-201703,243,209,53.76106194690266,46.23893805309734,12666.632728849445,-4951.728665796294,52.12606061254915,-23.69248165452772,17.068371820914052
13,201703-201706,231,317,42.153284671532845,57.846715328467155,9204.775063575229,-8542.029969804753,39.847511097728265,-26.946466781718463,1.2093888572453944
14,201706-201709,173,436,28.407224958949094,71.5927750410509,5340.447058425502,-14164.169668553975,30.869636175869957,-32.48662768016967,-14.488871280999133
15,201709-201712,60,401,13.015184381778742,86.98481561822126,1726.2461830448337,-15853.124797401913,28.770769717413895,-39.53397705087759,-30.643988317477397
16,201712-201803,164,513,24.224519940915805,75.7754800590842,4962.274963477943,-16279.205371325272,30.257774167548433,-31.733343803752966,-16.716293069198418
17,201803-201806,148,390,27.509293680297397,72.4907063197026,4112.1758587668755,-12080.598576484357,27.784972018695104,-30.975893785857327,-14.811194642597549
18,201806-201809,119,364,24.637681159420293,75.36231884057972,3613.7213536850113,-11878.769175409974,30.36740633348749,-32.6339812511263,-17.111900252018554
19,201809-201812,134,442,23.26388888888889,76.73611111111111,3413.493532816404,-15037.13847690637,25.473832334450776,-34.020675287118486,-20.179939139045082
20,201812-201903,26,299,8.0,92.0,581.951348347225,-15778.424650247667,22.38274416720096,-52.7706510041728,-46.7583793904629
21,201903-201906,95,255,27.142857142857142,72.85714285714285,6263.770635461068,-8957.36472748969,65.93442774169546,-35.12692049995957,-7.695983120081777
22,201906-201909,191,246,43.7070938215103,56.2929061784897,11119.564146696026,-6509.702957158919,58.217613333487044,-26.462207142922434,10.548881440588346
23,201909-201912,234,162,59.09090909090909,40.909090909090914,12675.485899523086,-2654.6773577288072,54.16874316035507,-16.38689726993091,25.305072075238076
24,201912-202003,510,10,98.07692307692307,1.9230769230769231,62648.53804627753,-116.59002620111511,122.84027067897554,-11.659002620111512,120.25374619245464
