,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,58,16,78.37837837837837,21.62162162162162,4925.9941403711555,-414.424281443491,84.9309334546751,-25.901517590218187,60.96716025577925
1,201403-201406,118,75,61.13989637305699,38.860103626943,6425.373705605295,-2170.0637242767357,54.452319539027926,-28.934182990356476,22.048238245225694
2,201406-201409,40,26,60.60606060606061,39.39393939393939,2165.236307385173,-596.3742304219644,54.13090768462932,-22.937470400844784,23.77063752974558
3,201409-201412,28,31,47.45762711864407,52.54237288135594,1773.6564484997396,-631.1401641395476,63.344873160704985,-20.35936013353379,19.364682785765964
4,201412-201503,24,33,42.10526315789473,57.89473684210527,1233.2790667560344,-922.0257297797262,51.38662778150143,-27.940173629688672,5.460584859233475
5,201503-201506,22,14,61.111111111111114,38.88888888888889,1229.3716618622668,-284.3049740162378,55.88053008464849,-20.307498144016986,26.25185244016747
6,201506-201509,41,20,67.21311475409836,32.78688524590164,2400.600618085798,-437.3458165925789,58.55123458745849,-21.867290829628946,32.184504942511786
7,201509-201512,30,28,51.724137931034484,48.275862068965516,1306.4531802306765,-723.1795318695463,43.54843934102255,-25.827840423912367,10.056442213122935
8,201512-201603,26,4,86.66666666666667,13.333333333333334,1399.2277241698996,-62.963015051063735,53.81645092961152,-15.740753762765934,44.542156970627865
9,201603-201606,59,13,81.94444444444444,18.055555555555554,3212.8537942992925,-215.968704694232,54.45514905592021,-16.61297728417169,41.623404022292505
10,201606-201609,63,27,70.0,30.0,3169.263712377937,-514.0125268821165,50.30577321234821,-19.037500995633945,29.502790949953557
11,201609-201612,18,4,81.81818181818183,18.181818181818183,1172.380940252007,-73.13669822392069,65.13227445844483,-18.284174555980172,49.96564736491302
12,201612-201703,60,36,62.5,37.5,3315.024093339803,-768.5080627409435,55.25040155566339,-21.34744618724843,26.526208652071457
13,201703-201706,40,53,43.01075268817204,56.98924731182796,2850.3117577498915,-1277.9268795159726,71.25779394374729,-24.111827915395708,16.90736428208515
14,201706-201709,24,34,41.37931034482759,58.620689655172406,849.6818833538487,-1004.5539560231488,35.40341180641036,-29.54570458891614,-2.6702081494706915
15,201709-201712,55,224,19.71326164874552,80.28673835125448,1301.4125260387464,-7933.21569997834,23.662045927977207,-35.416141517760444,-23.769903849245857
16,201712-201803,29,38,43.28358208955223,56.71641791044776,935.8050313448138,-1026.8258587390442,32.26913901189013,-27.021733124711687,-1.3585198118541855
17,201803-201806,23,38,37.704918032786885,62.295081967213115,662.9520972903815,-1127.3088471245649,28.824004230016588,-29.666022292751705,-7.612405734986612
18,201806-201809,16,42,27.586206896551722,72.41379310344827,488.74781566727324,-1550.0666870804248,30.546738479204578,-36.90634969239107,-18.298601231261234
19,201809-201812,13,31,29.545454545454547,70.45454545454545,419.68385897701995,-1177.842138583666,32.283373767463075,-37.99490769624729,-17.230869991060136
20,201812-201903,8,61,11.594202898550725,88.40579710144928,201.6149389787026,-3027.049687924743,25.201867372337826,-49.62376537581546,-40.948329694870154
21,201903-201906,8,44,15.384615384615385,84.61538461538461,526.6657979032865,-1365.8487583983494,65.83322473791081,-31.042017236326124,-16.138133855674287
22,201906-201909,24,21,53.333333333333336,46.666666666666664,1257.1416437412943,-744.7002645466454,52.38090182255393,-35.461917359364065,11.387586204325531
23,201909-201912,41,16,71.9298245614035,28.07017543859649,2417.161450407606,-280.8627561630803,58.95515732701478,-17.553922260192518,37.47892446043028
24,201912-202003,46,1,97.87234042553192,2.127659574468085,6174.917628852863,-10.966944701884461,134.23733975767095,-10.966944701884461,131.14788689682933
