,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,603,131,82.1525885558583,17.847411444141688,66489.98703063538,-2609.2407260522236,110.26531845876515,-19.917868137803232,87.03098951578087
1,201403-201406,440,341,56.33802816901409,43.66197183098591,30555.14450340991,-9787.413836164833,69.44351023502252,-28.702093361187192,26.591204439494334
2,201406-201409,275,249,52.48091603053435,47.51908396946565,15981.845127737028,-6426.029522720311,58.115800464498285,-25.807347480804463,18.236289322550984
3,201409-201412,369,181,67.0909090909091,32.90909090909091,26720.784161804826,-3459.522073296226,72.41404921898327,-19.11338162042114,42.29320379728836
4,201412-201503,323,265,54.93197278911565,45.06802721088435,21467.93411678845,-5881.39531610407,66.46419231203853,-22.19394458907196,26.507719048782956
5,201503-201506,383,156,71.05751391465677,28.942486085343226,28699.511811057433,-3050.3381595936366,74.9334512038053,-19.55344974098485,47.586593045387374
6,201506-201509,353,131,72.93388429752066,27.066115702479337,24656.605779429396,-2466.514984406422,69.84874158478583,-18.828358659591007,45.8472950310392
7,201509-201512,264,207,56.05095541401274,43.94904458598726,12491.272122179213,-4775.124802984334,47.31542470522429,-23.06823576320934,16.3824783847025
8,201512-201603,290,59,83.0945558739255,16.9054441260745,20199.59383994521,-875.3608105158297,69.65377186188003,-14.836623907047962,55.3702952132647
9,201603-201606,473,154,75.43859649122807,24.561403508771928,26420.971666918893,-2666.5324716623654,55.85829105056848,-17.315145919885488,37.88586793501838
10,201606-201609,409,161,71.75438596491229,28.24561403508772,24070.514219058496,-3009.0020760731936,58.852113005033,-18.689453888653375,36.950021303482984
11,201609-201612,230,31,88.12260536398468,11.877394636015326,21979.492149074973,-773.8222955744653,95.56300934380423,-24.962009534660172,81.24777721647705
12,201612-201703,350,235,59.82905982905983,40.17094017094017,18692.719501588293,-5643.850268485194,53.40777000453798,-24.01638412121359,22.30575937282581
13,201703-201706,207,281,42.41803278688525,57.58196721311475,11284.932702500246,-8054.399483810506,54.51658310386592,-28.66334335875625,6.61994512026586
14,201706-201709,144,287,33.4106728538283,66.5893271461717,7183.608803927962,-9176.55214099061,49.88617224949974,-31.97404927174429,-4.623998461862294
15,201709-201712,97,482,16.753022452504318,83.24697754749567,3577.542745020247,-16976.314004367792,36.8818839692809,-35.2205684737921,-23.14122842719783
16,201712-201803,104,258,28.7292817679558,71.27071823204419,3144.483056660081,-7293.034218032587,30.235414006346932,-28.2675744884984,-11.46008608113952
17,201803-201806,126,373,25.250501002004004,74.74949899799599,3848.709073027,-12624.410888859167,30.54531010338889,-33.84560560015863,-17.5865767852348
18,201806-201809,122,434,21.942446043165468,78.05755395683454,3045.35002376581,-15239.71328136393,24.96188544070336,-35.11454673125329,-21.932308017262805
19,201809-201812,97,362,21.13289760348584,78.86710239651417,2741.5314992593158,-13064.798259840642,28.263211332570265,-36.090602927736576,-22.490777256168467
20,201812-201903,39,675,5.46218487394958,94.53781512605042,969.2622786019375,-34405.427836855044,24.852878938511218,-50.97100420274821,-46.82936352696514
21,201903-201906,167,523,24.20289855072464,75.79710144927536,6290.520616391423,-16312.43329498616,37.66778812210433,-31.19012102291809,-14.52451112839817
22,201906-201909,265,337,44.01993355481728,55.98006644518272,15670.811356886203,-8451.71367389445,59.13513719579699,-25.079269062001334,11.99185661626537
23,201909-201912,492,151,76.51632970451011,23.48367029548989,32931.695589250055,-2642.3089300239,66.93434062855702,-17.498734635919867,47.10635561310444
24,201912-202003,497,19,96.31782945736434,3.6821705426356592,79684.21444791008,-336.1745612932825,160.3304113640042,-17.693397962804344,153.77527109809458
