,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,263,49,84.2948717948718,15.705128205128204,23149.871278508705,-917.3375140677733,88.02232425288481,-18.72117375648517,71.25812103987478
1,201403-201406,217,148,59.45205479452055,40.54794520547945,12255.11701543328,-4293.579685933252,56.4751936195082,-29.010673553603056,21.812431039726103
2,201406-201409,195,154,55.873925501432666,44.126074498567334,9010.879587487878,-3735.8620007578406,46.20963891019424,-24.2588441607652,15.114663572292368
3,201409-201412,181,119,60.333333333333336,39.666666666666664,8166.1065741300845,-2380.0189673777613,45.11661090679605,-20.000159389729088,19.286958689174412
4,201412-201503,122,195,38.48580441640379,61.51419558359621,5076.673871595493,-4827.78627767003,41.61208091471716,-24.757878347025798,0.7851343656954671
5,201503-201506,162,129,55.670103092783506,44.329896907216494,7174.986474255622,-2753.4199298737913,44.290039964540874,-21.344340541657296,15.194386750453026
6,201506-201509,141,98,58.995815899581594,41.00418410041841,5602.661452010307,-1820.4433857790818,39.735187602909974,-18.57595291611308,15.825180193436088
7,201509-201512,123,108,53.246753246753244,46.75324675324675,3983.4439849716473,-2324.20697644204,32.38572345505404,-21.520434967055923,7.182844192768863
8,201512-201603,307,93,76.75,23.25,17006.022745667513,-1774.6504698072044,55.39421089793978,-19.082263116206498,38.07843068965077
9,201603-201606,257,94,73.21937321937322,26.780626780626783,12959.6237096267,-1614.8631892073788,50.42655139932568,-17.17939562986573,32.32125504392969
10,201606-201609,274,103,72.67904509283821,27.320954907161806,13623.607275045724,-1879.975834840543,49.721194434473446,-18.252192571267408,31.150216021764408
11,201609-201612,291,36,88.9908256880734,11.009174311926607,24627.594059997053,-613.1219521084934,84.63090742267029,-17.031165336347037,73.43875262351241
12,201612-201703,202,138,59.411764705882355,40.588235294117645,7903.478076134228,-3240.5899416905454,39.12612908977341,-23.482535809351777,13.714376866010833
13,201703-201706,151,207,42.17877094972067,57.821229050279335,6568.6148176840525,-5713.943921407465,43.500760382013596,-27.603593823224468,2.3873488722809717
14,201706-201709,97,224,30.218068535825545,69.78193146417445,3930.9168082901224,-6724.997083591494,40.524915549382705,-30.0223084088906,-8.704299923057231
15,201709-201712,69,299,18.75,81.25,1932.9292945934446,-10401.869247657107,28.013468037586154,-34.788860360057214,-23.013423785499082
16,201712-201803,105,276,27.559055118110237,72.44094488188976,3074.3997734822456,-8590.669332607515,29.279997842688054,-31.12561352394027,-14.478397792979708
17,201803-201806,78,200,28.05755395683453,71.94244604316546,1812.975411859089,-6020.902189279097,23.24327451101396,-30.104510946395486,-15.136427256906503
18,201806-201809,70,179,28.11244979919679,71.8875502008032,1757.7696547875646,-5989.947007213163,25.11099506839378,-33.463391101749515,-16.99669619448031
19,201809-201812,68,171,28.451882845188287,71.54811715481172,2009.8162359807407,-5955.0251272641935,29.556121117363833,-34.82470834657423,-16.50715017273411
20,201812-201903,32,266,10.738255033557047,89.26174496644296,714.3287541483551,-13272.744871654897,22.322773567136096,-49.897537111484574,-42.14233596478705
21,201903-201906,60,206,22.55639097744361,77.44360902255639,2123.5333738261857,-6910.999107817019,35.392222897103096,-33.54853935833504,-17.997991481168548
22,201906-201909,97,107,47.549019607843135,52.450980392156865,5569.969870003405,-2537.330043689249,57.42236979384953,-23.71336489429205,14.86588150153998
23,201909-201912,145,79,64.73214285714286,35.267857142857146,7524.103928804428,-1254.9081213647912,51.89037192278916,-15.884912928668243,27.987481283212663
24,201912-202003,164,3,98.20359281437125,1.7964071856287425,21446.317916320335,-38.47260283732195,130.77023119707522,-12.824200945773983,128.19069049989827
