,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,245,48,83.61774744027304,16.38225255972696,22169.70664369469,-908.3866703407007,90.48859854569262,-18.924722298764596,72.56423199096925
1,201403-201406,207,140,59.654178674351584,40.345821325648416,11953.247354146379,-4101.053955098533,57.74515630022405,-29.293242536418095,22.628799420887162
2,201406-201409,180,149,54.7112462006079,45.2887537993921,8368.686417413322,-3620.003932114857,46.492702318962905,-24.295328403455414,14.43368536564883
3,201409-201412,169,116,59.29824561403508,40.70175438596491,7690.211711197449,-2345.4586157107456,45.50421130886065,-20.219470825092635,18.75351963328668
4,201412-201503,117,186,38.613861386138616,61.386138613861384,4971.609262290288,-4584.28280101943,42.49238685718195,-24.646681725910913,1.2783051527091025
5,201503-201506,148,124,54.41176470588235,45.588235294117645,6347.380992848215,-2645.3643722001825,42.88770941113659,-21.333583646775665,13.610355222970709
6,201506-201509,135,93,59.210526315789465,40.78947368421053,5198.015125833509,-1790.6266230919625,38.50381574691488,-19.254049710666262,14.944686415533099
7,201509-201512,120,99,54.794520547945204,45.20547945205479,3942.592077192963,-2122.1135101803065,32.854933976608024,-21.43549000182128,8.312687520605738
8,201512-201603,298,89,77.00258397932816,22.997416020671835,16532.457341528927,-1705.6883916723245,55.4780447702313,-19.165038108677805,38.3120644699137
9,201603-201606,239,88,73.08868501529052,26.911314984709477,12330.517485337607,-1508.1135009370753,51.59212336961342,-17.137653419739493,33.09603664954291
10,201606-201609,259,97,72.75280898876404,27.247191011235955,12894.97725436748,-1792.5333135965163,49.78755696666981,-18.479724882438312,31.18664028306451
11,201609-201612,276,33,89.32038834951457,10.679611650485436,23430.61911916938,-580.3693833898215,84.89354753322239,-17.586951011812772,73.94902827113125
12,201612-201703,185,130,58.730158730158735,41.269841269841265,7523.4067161863595,-3056.206168745888,40.66706333073708,-23.509278221122216,14.18158903949356
13,201703-201706,145,196,42.52199413489736,57.478005865102645,6361.331623107084,-5416.929389028317,43.871252573152304,-27.63739484198121,2.769508017826296
14,201706-201709,93,205,31.20805369127517,68.79194630872483,3682.209185387202,-6200.249513366411,39.593647154701095,-30.245119577397126,-8.449799758319491
15,201709-201712,61,284,17.681159420289855,82.31884057971014,1743.6986252106706,-9936.760363066314,28.585223364109353,-34.98859282769829,-23.748005037262736
16,201712-201803,102,259,28.254847645429365,71.74515235457064,3005.7505588569743,-8198.551845659225,29.468142733891906,-31.6546403307306,-14.384491099175209
17,201803-201806,68,188,26.5625,73.4375,1491.6686262656103,-5737.4784946494365,21.936303327435446,-30.518502631114025,-16.58519479837432
18,201806-201809,65,161,28.761061946902654,71.23893805309734,1596.2770205454638,-5291.140008314838,24.55810800839175,-32.86422365412943,-16.348951273315816
19,201809-201812,63,161,28.125,71.875,1834.8817061006846,-5692.081698717131,29.12510644604261,-35.354544712528764,-17.219642824180564
20,201812-201903,30,255,10.526315789473683,89.47368421052632,641.5025210935175,-12538.441087235558,21.383417369783917,-49.170357204845324,-41.74364409172646
21,201903-201906,55,187,22.727272727272727,77.27272727272727,1925.9288592289931,-6332.896248733488,35.01688834961806,-33.86575534082079,-18.210609047539236
22,201906-201909,91,94,49.18918918918919,50.810810810810814,5355.184347562609,-2205.0316645543967,58.84817964354516,-23.457783665472306,17.027852340584932
23,201909-201912,133,73,64.56310679611651,35.43689320388349,7012.290796776009,-1107.6232919387414,52.72399095320308,-15.17292180738002,28.663434489501302
24,201912-202003,150,3,98.0392156862745,1.9607843137254901,19388.90597325235,-38.47260283732195,129.25937315501565,-12.824200945773983,126.47342072166684
