,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,194,51,79.18367346938776,20.816326530612244,20531.850951846325,-995.3442957810163,105.83428325693983,-19.516554819235612,79.74084349414413
1,201403-201406,134,122,52.34375,47.65625,8147.617054975584,-3435.5035469046766,60.803112350564064,-28.15986513856292,18.406693390901985
2,201406-201409,150,160,48.38709677419355,51.61290322580645,5795.720386019717,-4446.775920610091,38.63813590679811,-27.792349503813067,4.35143375938589
3,201409-201412,206,149,58.028169014084504,41.971830985915496,8861.268447111624,-3393.3168553959867,43.01586624811468,-22.773938626818705,15.40268054004405
4,201412-201503,143,186,43.46504559270517,56.53495440729483,4794.264130724492,-4486.590581749507,33.52632259247897,-24.121454740588746,0.9351779604102898
5,201503-201506,213,135,61.206896551724135,38.793103448275865,9453.800466898887,-2467.3309729509056,44.384039750699,-18.276525725562262,20.076061764218338
6,201506-201509,278,136,67.14975845410628,32.850241545893724,13291.927493049345,-2656.105890149078,47.812688823918506,-19.53019036874322,25.690390345169728
7,201509-201512,252,267,48.554913294797686,51.445086705202314,9075.578693138126,-5863.547925344252,36.01420116324653,-21.960853652974727,6.188883945652937
8,201512-201603,188,41,82.09606986899564,17.903930131004365,10500.641262349098,-614.0762708435559,55.854474799729246,-14.977470020574534,43.17277288867049
9,201603-201606,205,69,74.81751824817519,25.18248175182482,10446.639836018017,-1425.4509001697595,50.95921871228301,-20.658708698112456,32.92404721112503
10,201606-201609,183,95,65.82733812949641,34.172661870503596,9771.035167600068,-1888.4914069760046,53.393634795628785,-19.87885691553689,28.354473959079368
11,201609-201612,302,46,86.7816091954023,13.218390804597702,24232.5744633059,-1007.9814245746195,80.24031279240364,-21.91263966466564,66.73733631819333
12,201612-201703,210,152,58.011049723756905,41.988950276243095,11149.381297066651,-3491.6949543668934,53.092291890793575,-22.97167733136114,21.153829675966183
13,201703-201706,143,168,45.98070739549839,54.019292604501615,6223.680917136273,-4346.804317918268,43.522244175778134,-25.873835225703974,6.034972987839245
14,201706-201709,129,269,32.41206030150754,67.58793969849246,3601.816753568668,-8474.783129838135,27.92106010518347,-31.50476999939827,-12.243634111229817
15,201709-201712,56,317,15.013404825737265,84.98659517426273,1281.257703055007,-11267.580244077186,22.87960184026798,-35.54441717374507,-26.77298268370557
16,201712-201803,108,256,29.67032967032967,70.32967032967034,2786.3597524473853,-6914.896589865382,25.79962733747579,-27.01131480416165,-11.34213416873076
17,201803-201806,124,298,29.383886255924168,70.61611374407583,3364.047093608341,-9175.631841689552,27.12941204522856,-30.790710878152858,-13.771527839055002
18,201806-201809,115,319,26.497695852534562,73.50230414746544,3240.432936342842,-10364.77917923658,28.17767770732906,-32.49147078130589,-16.415544338464834
19,201809-201812,112,301,27.11864406779661,72.88135593220339,2634.230818149562,-9757.11246588464,23.519918019192517,-32.41565603283934,-17.24668679839002
20,201812-201903,17,333,4.857142857142857,95.14285714285714,523.069297339908,-16966.268774945944,30.768782196465175,-50.94975608091875,-46.98056993601724
21,201903-201906,97,261,27.09497206703911,72.90502793296089,4202.73452779649,-9171.495692110559,43.32716008037618,-35.13983023797149,-13.879221129368908
22,201906-201909,176,235,42.82238442822384,57.17761557177615,9483.765893080075,-6654.6907746489205,53.88503348340952,-28.317833083612427,6.883394448737603
23,201909-201912,257,132,66.0668380462725,33.933161953727506,16505.00240140097,-2445.2978354540915,64.22179922724112,-18.524983601924934,36.14319939832102
24,201912-202003,431,12,97.29119638826185,2.708803611738149,60336.71226277015,-201.14143899938912,139.9923718393739,-16.761786583282426,135.74620953447123
