,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,395,108,78.52882703777337,21.47117296222664,48010.05823308576,-2167.3826078371717,121.54445122300191,-20.068357479973812,91.13852012971886
1,201403-201406,247,202,55.01113585746103,44.98886414253897,20189.026466845164,-5933.6828904459835,81.73694925848244,-29.37466777448507,31.749094824942496
2,201406-201409,234,213,52.348993288590606,47.651006711409394,14074.535015299207,-5234.507865779828,60.147585535466696,-24.57515429943581,19.77634709064738
3,201409-201412,306,142,68.30357142857143,31.69642857142857,19525.431054302746,-2790.8520695696516,63.80859821667564,-19.653887813870785,37.35397094806495
4,201412-201503,258,247,51.08910891089109,48.91089108910891,16817.630727140797,-5663.309873336196,65.18461522147595,-22.928380053992697,22.087764066939805
5,201503-201506,320,159,66.80584551148226,33.194154488517746,21604.304927934518,-2974.3889136960397,67.51345289979537,-18.706848513811572,38.89335284809703
6,201506-201509,300,129,69.93006993006993,30.069930069930066,20858.72177785977,-2537.301798316469,69.5290725928659,-19.66900618849976,42.707272679588115
7,201509-201512,55,38,59.13978494623656,40.86021505376344,2926.6723587522492,-1068.26654917528,53.21222470458635,-28.11227760987579,19.982858167494292
8,201512-201603,360,87,80.53691275167785,19.463087248322147,26457.565146716355,-1561.3541069989417,73.49323651865654,-17.94659893102232,55.696221565363345
9,201603-201606,324,102,76.05633802816901,23.943661971830984,20396.90103799731,-2060.4507415660373,62.9533982654238,-20.2004974663337,43.04331055500299
10,201606-201609,283,124,69.53316953316954,30.46683046683047,18848.097495279144,-2743.305730830503,66.60105122006765,-22.123433313149217,39.569512934763246
11,201609-201612,358,59,85.85131894484412,14.148681055155876,33138.53708620553,-1270.6894146353804,92.56574605085343,-21.537108722633565,76.42169705412505
12,201612-201703,239,193,55.32407407407407,44.675925925925924,13673.913612817529,-4497.7923815922295,57.21302766869259,-23.304623738819842,21.24102136857708
13,201703-201706,167,238,41.23456790123457,58.76543209876544,7481.1921395500485,-6481.731326163677,44.79755772185658,-27.234165235981838,2.467804477497213
14,201706-201709,122,293,29.397590361445786,70.60240963855422,5365.423878669481,-9758.513777984072,43.97888425138919,-33.305507774689666,-10.585758793529132
15,201709-201712,59,417,12.394957983193278,87.60504201680672,2339.1899674519436,-15679.043372773585,39.647287583931245,-37.599624395140495,-28.024902112020257
16,201712-201803,106,346,23.451327433628318,76.54867256637168,3686.179537829447,-11167.119110565829,34.775278658768364,-32.274910724178696,-16.550751267115892
17,201803-201806,104,343,23.2662192393736,76.7337807606264,3502.8525372662966,-11479.662763786577,33.681274396791316,-33.46840455914454,-17.845213034720985
18,201806-201809,97,381,20.292887029288703,79.70711297071131,2696.34330101343,-13642.704851252889,27.797353618695155,-35.80762428150364,-22.900337971212256
19,201809-201812,98,392,20.0,80.0,2704.005996273922,-14509.000059157228,27.59189792116247,-37.01275525295211,-24.0918246181292
20,201812-201903,22,424,4.932735426008969,95.06726457399103,597.5544461380582,-22434.679180825355,27.1615657335481,-52.9119792000598,-48.962163082258506
21,201903-201906,123,356,25.678496868475992,74.32150313152401,6742.5744348554545,-11542.950759404564,54.81767833215817,-32.42401898709147,-10.021662472962651
22,201906-201909,259,334,43.676222596964585,56.323777403035415,17089.969523245516,-8738.496806094592,65.98443831368925,-26.16316409010357,14.083427853542874
23,201909-201912,365,125,74.48979591836735,25.510204081632654,27013.805159882977,-2140.6410323023547,74.0104250955698,-17.125128258418837,50.761559444042085
24,201912-202003,464,11,97.68421052631578,2.3157894736842106,73437.88795234969,-174.3260477782679,158.27131024213296,-15.847822525297083,154.23907769383456
