,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,218,58,78.98550724637681,21.014492753623188,24638.78132091071,-1223.8705406322606,113.02193266472804,-21.101216217797596,84.83663326187843
1,201403-201406,151,128,54.121863799283155,45.878136200716845,10103.46162104599,-3854.4807469600682,66.91034186123171,-30.113130835625533,22.397780910702227
2,201406-201409,134,128,51.14503816793893,48.854961832061065,7972.725945545781,-3184.6061015295045,59.49795481750583,-24.879735168199254,18.275266580214794
3,201409-201412,157,79,66.52542372881356,33.47457627118644,9471.955478402297,-1538.5368270723498,60.33092661402737,-19.47514970977658,33.61618072597435
4,201412-201503,136,140,49.275362318840585,50.72463768115942,10792.135965778285,-3458.6839423037277,79.35394092484033,-24.704885302169483,26.57047834592231
5,201503-201506,148,102,59.199999999999996,40.8,10533.533627845134,-2059.0919529662992,71.17252451246712,-20.18717600947352,33.897766699515344
6,201506-201509,168,72,70.0,30.0,11231.813413119979,-1339.665273292042,66.85603222095226,-18.60646212905614,41.21728391594973
7,201509-201512,40,26,60.60606060606061,39.39393939393939,1959.77756805786,-776.6190342905786,48.9944392014465,-29.869962857329945,17.926644451019413
8,201512-201603,223,60,78.79858657243817,21.20141342756184,16179.995121507898,-1164.5808102908945,72.556031935013,-19.40968017151491,53.05800109970673
9,201603-201606,199,57,77.734375,22.265625,12319.908648250052,-1075.4907778101758,61.90908868467363,-18.868259259827646,43.92350730640577
10,201606-201609,178,84,67.93893129770993,32.06106870229007,11213.444284818603,-1995.8044878810429,62.99687800459889,-23.759577236679082,35.18183128602122
11,201609-201612,227,39,85.33834586466166,14.661654135338345,21051.141469742637,-816.5660436720156,92.73630603410854,-20.937590863385015,76.06983242883692
12,201612-201703,153,124,55.23465703971119,44.765342960288805,9312.464812108614,-3105.3590350614068,60.865783085677215,-25.043218024688763,22.408324104863564
13,201703-201706,111,154,41.88679245283019,58.11320754716981,4934.394889824025,-3909.1637148120117,44.45400801643266,-25.384179966311763,3.8687968868377864
14,201706-201709,66,194,25.384615384615383,74.61538461538461,3290.6954967971083,-6394.5913502653275,49.85902267874406,-32.961811083841894,-11.938060974877766
15,201709-201712,38,269,12.37785016286645,87.62214983713355,1389.5293827274222,-10052.407522551675,36.56656270335321,-37.36954469350065,-28.217844103662063
16,201712-201803,66,235,21.92691029900332,78.07308970099668,2301.348395357568,-7795.008292809071,34.86891508117527,-33.170248054506686,-18.251361785553165
17,201803-201806,64,198,24.427480916030532,75.57251908396947,2458.676765373164,-7058.458464205596,38.41682445895569,-35.648780122250486,-17.55641869783371
18,201806-201809,43,215,16.666666666666664,83.33333333333334,1005.1478191630231,-7780.100546883818,23.375530678209838,-36.186514171552645,-26.25950669659223
19,201809-201812,58,210,21.641791044776117,78.35820895522389,1349.5859265417719,-8137.608899965715,23.26872287140986,-38.75051857126531,-25.328443930686355
20,201812-201903,10,230,4.166666666666666,95.83333333333334,400.8108899019002,-12446.84409261319,40.081088990190025,-54.1167134461443,-50.191805011297035
21,201903-201906,64,187,25.49800796812749,74.5019920318725,4216.148163117061,-6507.593746436296,65.87731504870408,-34.799966558482865,-9.129265272188187
22,201906-201909,155,201,43.53932584269663,56.46067415730337,10613.4260882665,-5237.819088054386,68.47371669849355,-26.0588014331064,15.100019663517175
23,201909-201912,179,70,71.8875502008032,28.11244979919679,14703.18136508006,-1316.6000353986256,82.14067801720704,-18.80857193426608,53.76137080193347
24,201912-202003,262,6,97.76119402985076,2.2388059701492535,38692.49314324573,-115.65723587337843,147.68127153910584,-19.276205978896403,143.94341756482223
