,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,371,57,86.6822429906542,13.317757009345794,35569.81322620346,-1126.9727651315181,95.87550734825732,-19.771452019851196,80.47392631091576
1,201403-201406,295,224,56.84007707129094,43.15992292870906,17696.35862711721,-5890.726921562955,59.98765636310919,-26.297888042691763,22.74688189894847
2,201406-201409,274,230,54.36507936507936,45.63492063492063,15702.767505452171,-5973.574038497874,57.30937045785464,-25.97206103694728,19.303955291575985
3,201409-201412,314,179,63.691683569979716,36.308316430020284,20785.846970068236,-3779.7248335992876,66.19696487282877,-21.11578119329211,34.495176747401516
4,201412-201503,204,230,47.004608294930875,52.995391705069125,9808.79100263488,-5341.22502490228,48.08230883644549,-23.22271749957513,10.293930824268664
5,201503-201506,278,163,63.038548752834465,36.961451247165535,16865.59515307216,-3336.497347443018,60.66760846428835,-20.469308880018517,30.67822631661937
6,201506-201509,337,168,66.73267326732673,33.26732673267327,19365.552449459956,-3227.99605835063,57.46454732777435,-19.21426225208708,31.95555721011748
7,201509-201512,476,451,51.34843581445523,48.651564185544764,19749.27047042,-9846.824621796492,41.4900640134874,-21.833314017287123,10.682250106389978
8,201512-201603,347,79,81.45539906103286,18.544600938967136,22852.331706056244,-1456.9421280745773,65.85686370621396,-18.442305418665537,50.22391919714006
9,201603-201606,291,134,68.47058823529412,31.529411764705884,14667.827278734472,-2633.5447028771246,50.404904737919146,-19.653318678187496,28.315959002017287
10,201606-201609,327,157,67.56198347107438,32.438016528925615,18714.072538917466,-2927.619139289016,57.22957962971702,-18.647255664261248,32.616639255430684
11,201609-201612,393,60,86.75496688741721,13.245033112582782,33523.27507847997,-1359.4950680112313,85.30095439816786,-22.658251133520523,71.00172187741444
12,201612-201703,253,203,55.48245614035088,44.51754385964912,13583.037738725623,-5179.965017311937,53.68789620049653,-25.51706905079772,18.427791055731767
13,201703-201706,195,284,40.709812108559504,59.2901878914405,10110.989249213007,-8561.316131959866,51.85122691904106,-30.14547933788685,3.2352257145159538
14,201706-201709,132,335,28.26552462526767,71.73447537473233,5366.501830843082,-11149.617512557541,40.655316900326376,-33.28244033599266,-12.383545356990277
15,201709-201712,71,368,16.173120728929387,83.82687927107062,2232.3102663590716,-14575.845003435816,31.44098966702918,-39.608274465858194,-28.117391200630397
16,201712-201803,121,345,25.9656652360515,74.0343347639485,3414.7767533909814,-10467.367689127093,28.221295482570095,-30.340196200368386,-15.134315312738439
17,201803-201806,110,300,26.82926829268293,73.17073170731707,2936.93729905334,-9918.364181730525,26.699429991394002,-33.06121393910175,-17.02787044555411
18,201806-201809,103,298,25.6857855361596,74.3142144638404,2908.6979904805216,-10450.733313430528,28.23978631534487,-35.06957487728365,-18.808068137032436
19,201809-201812,81,287,22.01086956521739,77.98913043478261,2064.623982568134,-9962.190906935728,25.489184969976964,-34.71146657468895,-21.460779685781507
20,201812-201903,27,383,6.585365853658537,93.41463414634147,546.4911306621672,-20039.05295846035,20.24041224674693,-52.321287097807705,-47.54283372633703
21,201903-201906,83,301,21.614583333333336,78.38541666666666,3054.377568227667,-10120.814098260913,36.79972973768273,-33.623967103856856,-18.402178463628246
22,201906-201909,109,164,39.92673992673993,60.07326007326007,5987.752955479529,-4260.026985531492,54.9335133530232,-25.975774302021293,6.328666556586217
23,201909-201912,241,134,64.26666666666667,35.733333333333334,13434.507083201963,-2353.0105077473413,55.74484266888781,-17.55977990856225,29.550657534545657
24,201912-202003,394,14,96.56862745098039,3.431372549019608,52428.553853973615,-236.34674448980044,133.06739556846097,-16.881910320700033,127.92207624873485
