,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,186,29,86.51162790697674,13.488372093023257,18753.90731939186,-579.3486618760047,100.82745870640784,-19.97754006468982,84.53283096519003
1,201403-201406,184,98,65.24822695035462,34.751773049645394,10528.601194929906,-2653.7298817013584,57.220658668097315,-27.078876343891412,27.92507557882464
2,201406-201409,202,143,58.550724637681164,41.449275362318836,8692.662766851703,-3202.411250232881,43.03298399431536,-22.394484267362802,15.913772511938616
3,201409-201412,194,130,59.876543209876544,40.123456790123456,6852.709543668616,-2325.235440378906,35.323245070456785,-17.886426464453123,13.973685503980587
4,201412-201503,133,185,41.82389937106918,58.17610062893082,3743.8167066206133,-4150.877845982796,28.14899779413995,-22.437177545852954,-1.2800664759817075
5,201503-201506,187,136,57.89473684210527,42.10526315789473,5495.378946379495,-2214.8479364447185,29.387053189195157,-16.285646591505284,10.156442755216025
6,201506-201509,231,98,70.2127659574468,29.78723404255319,9089.516374130713,-1705.6942729347925,39.34855573216759,-17.405043601375432,22.443228271112222
7,201509-201512,172,139,55.30546623794213,44.69453376205787,4777.807284342332,-2756.9529531083276,27.7779493275717,-19.834193907254157,6.497923894643102
8,201512-201603,233,41,85.03649635036497,14.963503649635038,11902.008538486447,-737.277945520938,51.08158171024226,-17.98238891514483,40.74719194512959
9,201603-201606,198,55,78.26086956521739,21.73913043478261,9053.604533116682,-723.0360672067764,45.72527541978123,-13.14611031285048,32.92714808660042
10,201606-201609,215,72,74.91289198606272,25.087108013937282,8874.49195567727,-1231.741223563727,41.27670677059195,-17.107516993940653,26.629793491684815
11,201609-201612,281,30,90.35369774919614,9.646302250803858,17367.65485808048,-426.14400784248375,61.806600918435876,-14.204800261416125,54.474311415556265
12,201612-201703,189,115,62.17105263157895,37.82894736842105,8085.881806875595,-2335.6383513567325,42.7824434226222,-20.309898707449847,18.915274524733103
13,201703-201706,150,170,46.875,53.125,5494.583753611176,-3783.983577069286,36.630558357407836,-22.258726923936976,5.345625551693405
14,201706-201709,122,219,35.77712609970675,64.22287390029325,3646.8123109232347,-5776.342916454814,29.891904187895367,-26.37599505230509,-6.244957787482638
15,201709-201712,66,262,20.121951219512198,79.8780487804878,1396.003596033946,-7546.089865943062,21.15156963687797,-28.801869717339933,-18.7502630180156
16,201712-201803,112,210,34.78260869565217,65.21739130434783,2389.087393473922,-5057.380416749744,21.331137441731446,-24.082763889284493,-8.286624295887645
17,201803-201806,108,191,36.12040133779264,63.87959866220736,2552.6664427426995,-4983.411302347527,23.635800395765735,-26.091158651034174,-8.12958147025026
18,201806-201809,99,165,37.5,62.5,2556.553467266681,-4484.064199467468,25.82377239663314,-27.176146663439198,-7.301177015912073
19,201809-201812,115,205,35.9375,64.0625,2773.8817433459044,-5600.207109742718,24.120710811703518,-27.3180834621596,-8.832266769990042
20,201812-201903,24,254,8.633093525179856,91.36690647482014,635.6541747769782,-11535.358562428242,26.485590615707423,-45.41479748987497,-39.20756973975275
21,201903-201906,68,205,24.90842490842491,75.0915750915751,2488.6295700178634,-7063.56473087712,36.597493676733286,-34.4564133213518,-16.75800425223171
22,201906-201909,117,175,40.06849315068493,59.93150684931506,5331.536557323794,-4867.745106910905,45.56868852413499,-27.81568632520517,1.5883268849756487
23,201909-201912,164,97,62.83524904214559,37.16475095785441,7396.730376606395,-1361.245089699859,45.10201449150241,-14.033454532988236,23.124464700791325
24,201912-202003,299,5,98.35526315789474,1.644736842105263,34044.90583866328,-62.46519215557411,113.86256133332202,-12.493038431114822,111.78434423193326
