,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,182,29,86.25592417061611,13.744075829383887,18392.03165239079,-579.3486618760047,101.05511896918016,-19.97754006468982,84.42029853324543
1,201403-201406,182,96,65.46762589928058,34.53237410071942,10471.830247809487,-2588.190769584148,57.537528834118056,-26.96032051650154,28.358415389299783
2,201406-201409,199,141,58.529411764705884,41.47058823529412,8568.722063885172,-3187.9746330180506,43.05890484364408,-22.609749170340784,15.825727737844476
3,201409-201412,186,126,59.61538461538461,40.38461538461539,6636.016836770081,-2283.3467700719307,35.67750987510796,-18.12179976247564,13.950865598391507
4,201412-201503,126,181,41.042345276872965,58.95765472312704,3622.8466402927625,-4104.294866046835,28.752751113434623,-22.675662243352676,-1.5682352630425802
5,201503-201506,182,131,58.146964856230035,41.853035143769965,5311.1095666961355,-2112.519929093774,29.18192069613261,-16.126106328960105,10.219136222371763
6,201506-201509,226,95,70.40498442367601,29.595015576323984,8913.571135408114,-1690.0286310887564,39.44058024516865,-17.789775064092172,22.503247677007344
7,201509-201512,166,135,55.14950166112956,44.85049833887043,4668.7141079088815,-2692.010233071587,28.124783782583624,-19.940816541271015,6.567122507765097
8,201512-201603,219,38,85.21400778210116,14.785992217898833,11375.600206057181,-662.1982946475716,51.94337993633416,-17.4262709117782,41.68638876034868
9,201603-201606,186,54,77.5,22.5,8539.045976869304,-708.310167523763,45.90884933800701,-13.11685495414376,32.62806587227308
10,201606-201609,205,71,74.27536231884058,25.724637681159418,8283.26820427025,-1224.9744747400657,40.40618636229391,-17.253161616057263,25.57352800554415
11,201609-201612,264,30,89.79591836734694,10.204081632653061,16286.023117255869,-426.14400784248375,61.689481504757076,-14.204800261416125,53.94516703882104
12,201612-201703,184,110,62.585034013605444,37.41496598639456,7893.081218669066,-2162.8848125504765,42.897180536244925,-19.66258920500433,19.49046396638976
13,201703-201706,141,164,46.22950819672131,53.77049180327869,5191.721048572625,-3676.8427388500268,36.82071665654344,-22.419772797866017,4.966814130238026
14,201706-201709,120,206,36.809815950920246,63.190184049079754,3543.440287587213,-5470.9240213889525,29.528669063226776,-26.557883598975497,-5.9125267908028825
15,201709-201712,64,257,19.937694704049843,80.06230529595015,1379.2544140218247,-7413.213266088278,21.55085021909101,-28.845187805790964,-18.797379601453123
16,201712-201803,109,202,35.048231511254016,64.95176848874597,2351.4693943308866,-4841.859803568768,21.573113709457676,-23.969602987964198,-8.00768620333724
17,201803-201806,105,182,36.58536585365854,63.41463414634146,2446.329957503785,-4785.336869007246,23.298380547655096,-26.293059719820032,-8.149849865865717
18,201806-201809,95,156,37.84860557768924,62.15139442231076,2462.6905175253223,-4309.5335703531255,25.92305807921392,-27.625215194571318,-7.35794044951316
19,201809-201812,110,196,35.947712418300654,64.05228758169935,2696.337156634587,-5376.73583465461,24.512155969405335,-27.432325687013314,-8.759472803987004
20,201812-201903,23,239,8.778625954198473,91.22137404580153,627.7102495433332,-10843.104761773966,27.291749980144925,-45.36863917060237,-38.990055390193255
21,201903-201906,64,189,25.296442687747035,74.70355731225297,2320.9360914646113,-6521.864865551208,36.26462642913455,-34.50722151085295,-16.60446155765453
22,201906-201909,107,168,38.90909090909091,61.09090909090909,4553.8972767496825,-4572.721521408086,42.5597876331746,-27.21858048457194,-0.06845179875783122
23,201909-201912,151,88,63.17991631799163,36.82008368200837,6535.9793610520765,-1241.0539305172729,43.2846315301462,-14.102885574059918,22.154499709350645
24,201912-202003,286,5,98.28178694158075,1.718213058419244,32511.889059953242,-62.46519215557411,113.67793377606029,-12.493038431114822,111.51004765566209
