,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,220,48,82.08955223880598,17.91044776119403,19373.565050727786,-890.5650618008731,88.06165932148994,-18.55343878751819,68.96641786913027
1,201403-201406,141,107,56.85483870967742,43.145161290322584,7738.792922131011,-2886.6868849568255,54.88505618532632,-26.97838210240024,19.56494369828301
2,201406-201409,116,95,54.976303317535546,45.023696682464454,4565.114850478078,-2395.4924316056954,39.35443836619032,-25.21570980637574,10.282570705556314
3,201409-201412,130,97,57.268722466960355,42.731277533039645,5191.569899240992,-2302.8457625506294,39.93515307108455,-23.740677964439477,12.725656989825385
4,201412-201503,78,139,35.944700460829495,64.0552995391705,3095.846728893983,-3389.170787584403,39.69034267812798,-24.382523651686352,-1.3517237727669138
5,201503-201506,118,96,55.140186915887845,44.85981308411215,6263.832746042718,-2107.2136184014944,53.083328356294224,-21.9501418583489,19.423453867482355
6,201506-201509,122,92,57.009345794392516,42.99065420560748,5114.850957100114,-1912.3383353702661,41.9250078450829,-20.78628625402463,14.965012251074056
7,201509-201512,113,124,47.67932489451477,52.320675105485236,3310.307361401667,-2729.9486384124957,29.294755410634224,-22.015714825907224,2.4487709830766726
8,201512-201603,216,46,82.44274809160305,17.557251908396946,12174.65189012139,-658.1609701556688,56.36412912093236,-14.307847177297148,43.95607221360962
9,201603-201606,212,61,77.65567765567766,22.344322344322347,10303.13920072242,-1170.595606550808,48.59971321095481,-19.190091910668983,33.452540637991255
10,201606-201609,189,64,74.70355731225297,25.296442687747035,10102.42666753559,-1145.9827924903211,53.451992949923756,-17.905981132661267,35.40096393298525
11,201609-201612,208,25,89.27038626609442,10.72961373390558,15977.209336919013,-291.93460424801225,76.81350642749526,-11.67738416992049,67.31877567669957
12,201612-201703,155,93,62.5,37.5,6490.376853347288,-1689.0426856844986,41.87339905385347,-18.161749308435468,19.360218417995117
13,201703-201706,117,131,47.17741935483871,52.82258064516129,4679.952520772833,-3512.7888480667602,39.9995941946396,-26.815182046311147,4.706305131879326
14,201706-201709,70,135,34.146341463414636,65.85365853658537,2094.900008955909,-3689.5901171952582,29.927142985084416,-27.33029716440932,-7.778976137752923
15,201709-201712,48,223,17.712177121771216,82.28782287822878,1258.352600466212,-7721.7432169272815,26.215679176379414,-34.626651196983325,-23.85014987624011
16,201712-201803,79,168,31.983805668016196,68.0161943319838,2030.4089812051286,-4606.239855998979,25.70137950892568,-27.418094380946304,-10.428465080137045
17,201803-201806,76,188,28.78787878787879,71.21212121212122,1720.8740990618094,-5383.9138607187615,22.64308025081328,-28.63783968467426,-13.87515061233694
18,201806-201809,76,188,28.78787878787879,71.21212121212122,2207.7511727107635,-5809.448599197058,29.04935753566794,-30.901322336154564,-13.642793282145053
19,201809-201812,55,155,26.190476190476193,73.80952380952381,1590.5342920702906,-4844.481387131957,28.91880531036892,-31.254718626657784,-15.494986166960315
20,201812-201903,21,216,8.860759493670885,91.13924050632912,419.9861739653896,-10728.378943697455,19.999341617399505,-49.668421035636364,-43.49532814232939
21,201903-201906,63,176,26.359832635983267,73.64016736401673,1950.3413175344165,-6329.685007011436,30.957798691022482,-35.96411935801952,-18.323613763502173
22,201906-201909,92,123,42.7906976744186,57.20930232558139,4986.427935776401,-3078.1374753349137,54.20030364974349,-25.025507929552145,8.875769583448777
23,201909-201912,147,89,62.28813559322034,37.71186440677966,7091.8176925581665,-1778.5362889372527,48.243657772504534,-19.983553808283737,22.51390425263099
24,201912-202003,202,5,97.58454106280193,2.4154589371980677,26032.432638082406,-75.16575029843003,128.87342890139806,-15.033150059686005,125.39742457866654
